codigo_ocorrencia2,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_ano_fabricacao,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
48653,PTGQK,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1977.0,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
48654,PTWCM,AVIÃO,EMBRAER,EMB-110,E110,TURBOÉLICE,BIMOTOR,5600,1974.0,TÁXI AÉREO,ANÁPOLIS,GOVERNADOR ANDRÉ FRANCO MONTORO,POUSO,SUBSTANCIAL,0
48656,PRDTX,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1497,1976.0,AGRÍCOLA,GENERAL LEITE DE CASTRO,GENERAL LEITE DE CASTRO,ESPECIALIZADA,NENHUM,0
48657,PULJR,ULTRALEVE,***,SEAMAX M22,ULAC,PISTÃO,MONOMOTOR,600,2009.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
48658,PPXLR,ANFÍBIO,JOHN SEELY,COMPAIR 8 ANFHIBIAN,ZZZZ,PISTÃO,MONOMOTOR,3084,2006.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,2
48659,PRBGQ,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2005.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
48660,PTAVJ,AVIÃO,CESSNA AIRCRAFT,150J,C150,PISTÃO,MONOMOTOR,726,1969.0,INSTRUÇÃO,DEPUTADO LUÍS EDUARDO MAGALHÃES,HORÁCIO DE MATTOS,DECOLAGEM,LEVE,0
48661,PPGIX,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,1993.0,INSTRUÇÃO,TIETÊ,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
48662,PTEFI,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,P32R,PISTÃO,MONOMOTOR,1633,1976.0,TÁXI AÉREO,FAZENDA TAUÁ,PORTO SEGURO,POUSO,SUBSTANCIAL,0
48691,PTVDJ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,1986.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
48693,PPGXU,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PAUL,PISTÃO,MONOMOTOR,660,1960.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,LEVE,0
48694,PRLON,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,1979.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
48696,PUMSN,ULTRALEVE,SEBASTIÃO DE PAULA DO NASCIMENTO,AA-2120,ULAC,PISTÃO,MONOMOTOR,580,2012.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
48711,PTWIN,AVIÃO,PIPER AIRCRAFT,PA-32R-301,P32R,PISTÃO,MONOMOTOR,1633,1995.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
48714,PRZSZ,AVIÃO,CARLOS ALBERTO VALENTE,EXPLORER,ZZZZ,PISTÃO,MONOMOTOR,1200,2012.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
48716,PRGGV,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,2009.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
48727,PRHRZ,HELICÓPTERO,BELL HELICOPTER,212,B212,TURBOEIXO,BIMOTOR,5080,1971.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,SUBSTANCIAL,2
48729,PUCBR,ULTRALEVE,***,JABIRU J250,ULAC,PISTÃO,MONOMOTOR,700,2008.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,SUBSTANCIAL,0
48731,PUTHG,ULTRALEVE,TARSO GOROZEVSKI,CORSARIO MK5,ULAC,PISTÃO,MONOMOTOR,550,2011.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
48734,PRIOB,AVIÃO,BOEING COMPANY,727-264,B722,JATO,TRIMOTOR,88360,1982.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
48736,PRGJC,AVIÃO,LEARJET,31A,LJ31,JATO,BIMOTOR,7031,2000.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
48738,PRNEC,AVIÃO,BEECH AIRCRAFT,D55,BE55,PISTÃO,BIMOTOR,2404,1968.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
48739,PTVHV,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,1989.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
48751,PTOTC,AVIÃO,RAYTHEON AIRCRAFT,BAE125-800B,H25B,JATO,BIMOTOR,12429,1991.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
48753,PRLDC,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2009.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
48754,PRLCM,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,2006.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
48755,PRABB,AVIÃO,BOEING COMPANY,767-316F,B763,JATO,BIMOTOR,186880,1999.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
48757,PTTMG,AVIÃO,AIRBUS INDUSTRIE,A319-132,A319,JATO,BIMOTOR,75500,2011.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,NENHUM,0
48759,PRGUF,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,2010.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
48761,PPALS,HELICÓPTERO,EUROCOPTER FRANCE,EC 155 B1,EC55,TURBOEIXO,BIMOTOR,4920,2009.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
48762,PTDIS,AVIÃO,PIPER AIRCRAFT,PA-30,PA30,PISTÃO,BIMOTOR,1633,1969.0,INSTRUÇÃO,GOVERNADOR JOSÉ RICHA,CAMPO GRANDE,MANOBRA,SUBSTANCIAL,0
